n,year,dates,venue,city,host,url,title,titleko
1,2004,August 16-17,Yonsei University,Seoul,Yonsei University BK21 Research Group,http://matrix.skku.ac.kr/conference/2004Combnatorics2.htm
2,2005,August 8-10,Yonsei University,Seoul,Yonsei University BK21 Research Group,http://matrix.skku.ac.kr/conference/2005Combnatorics.htm,2005 Combinatorial Mathematics Conference,2005 조합수학 학술대회
3,2006,August 9-10,Yeongnam University,Gyeongsan,"Department of Mathematics, Yeongnam University",http://matrix.skku.ac.kr/2006-Album/2006-8-YNU.html
4,2007,August 6-8,KAIST,Daejeon,KAIST Combinatorics Lab,http://mathsci.kaist.ac.kr/workshop/combinatorics2007/index.html
5,2008,August 7-8,Sungkyunkwan University,Suwon,Sungkyunkwan University BK21 Division,http://matrix.skku.ac.kr/conference/2008Combnatorics.htm
6,2009,August 20-21,KAIST,Daejeon,KAIST ASARC,http://mathsci.kaist.ac.kr/workshop/combinatorics2009/
7,2010,August 20-21,Yeongnam University,Gyeongsan,"Department of Mathematics, Yeongnam University",https://www.combinatorics.kr/workshop/2010-combinatorics-workshop
8,2011,August 17-19,Kangwon National University,Chuncheon,"Department of Mathematics Education, Kangwon National University",https://cw2011.combinatorics.kr/
9,2012,August 9-10,Chonnam National University, Gwangju,"Department of Mathematics, Chonnam National University",http://www.math.chonnam.ac.kr/swkim/cw2012/
10,2013,August 7-9,"CAMP (Center for Applications of Mathematical Principles), NIMS",Daejeon,NIMS (National Institute for Mathematical Sciences),https://cw2013.combinatorics.kr/
11,2014,October 31-November 1,Ajou University,Suwon,"Department of Mathematics, Ajou University",https://web.archive.org/web/20160619232446/http://ajou.ac.kr/~schoi/Workshop/combinatorics2014/
12,2015,July 13-16,"CAMP (Center for Applications of Mathematical Principles), NIMS",Daejeon,"NIMS (National Institute for Mathematical Sciences)",https://cw2015.combinatorics.kr/
13,2016,July 21-23,KAIST,Daejeon,KIAS CMC,https://cw2016.combinatorics.kr/
14,2017,August 16-17,Sungkyunkwan University,Suwon,"Applied Algebra and Optimization Research Center (AORC), Sungkyunkwan University",https://cw2017.combinatorics.kr/
15,2018,August 17-18,Seoul National University,Seoul,"IMDARC, Seoul National University",https://cw2018.combinatorics.kr/
16,2019,August 13-15,Hotel Skypark Songdo, Incheon,"Combinatorics Incheon and IBS Discrete Mathematics Group",https://cw2019.combinatorics.kr/
17,2020,August 24,Kyung Hee University, Seoul (online),"Kyung Hee University and IBS Discrete Mathematics Group",https://cw2020.combinatorics.kr/
18,2021,December 20-22,The Bloomvista, Yangpyeong,IBS Discrete Mathematics Group,https://cw2021.combinatorics.kr/
19,2022,September 30-October 1,GIST, Gwangju,GIST and IBS Extremal Combinatorics and Probability Group,https://indico.ibs.re.kr/e/cw2022
20,2023,August 16-18,Yonsei University,Seoul,Yonsei University,https://cw2023.combinatorics.kr/
